epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8885,1.66637,2.67494,1.55537,0.42239,0.46038,0.42209,0.14649,2.02628,2.30705,1.67502,0.00332545,0.00332545,0.00332545
2,109.245,1.5541,1.97288,1.42303,0.5088,0.57744,0.48568,0.20875,1.8471,1.88594,1.52805,0.00659286,0.00659286,0.00659286
3,162.663,1.61696,1.83263,1.47032,0.43562,0.46767,0.38055,0.14017,2.10948,2.57592,1.7916,0.00979428,0.00979428,0.00979428
4,215.966,1.64561,1.7827,1.50983,0.52638,0.55827,0.50467,0.20979,1.96711,1.82855,1.68599,0.009703,0.009703,0.009703
5,269.638,1.60474,1.6698,1.49032,0.50199,0.5728,0.48966,0.2103,1.85807,1.73297,1.57371,0.009604,0.009604,0.009604
6,323.428,1.55345,1.58762,1.46843,0.64279,0.62998,0.63118,0.28823,1.77297,1.62067,1.50733,0.009505,0.009505,0.009505
7,377.249,1.51951,1.5077,1.43545,0.65374,0.61221,0.64008,0.31875,1.61713,1.49828,1.43009,0.009406,0.009406,0.009406
8,430.986,1.50098,1.4667,1.42522,0.6668,0.66609,0.67219,0.34922,1.57689,1.39831,1.41211,0.009307,0.009307,0.009307
9,485.075,1.46506,1.42185,1.40484,0.71531,0.68323,0.72041,0.38892,1.59344,1.37499,1.40616,0.009208,0.009208,0.009208
10,538.987,1.43502,1.38408,1.38916,0.69644,0.66352,0.69789,0.35417,1.68712,1.39639,1.44001,0.009109,0.009109,0.009109
11,593.01,1.42232,1.35064,1.37991,0.68716,0.65849,0.69249,0.36641,1.58997,1.3642,1.40324,0.00901,0.00901,0.00901
12,646.872,1.40501,1.3238,1.3694,0.69789,0.67856,0.69392,0.37605,1.61404,1.37159,1.40534,0.008911,0.008911,0.008911
13,700.907,1.38091,1.28925,1.35198,0.70259,0.68116,0.71818,0.40103,1.51251,1.24759,1.35153,0.008812,0.008812,0.008812
14,755.109,1.38159,1.27642,1.34968,0.71854,0.68027,0.71577,0.40838,1.54107,1.24979,1.34032,0.008713,0.008713,0.008713
15,809.148,1.35869,1.25542,1.33724,0.73622,0.68131,0.71152,0.40597,1.51636,1.25965,1.35172,0.008614,0.008614,0.008614
16,863.288,1.34983,1.23894,1.32611,0.80113,0.69142,0.74553,0.41228,1.5396,1.24475,1.35035,0.008515,0.008515,0.008515
17,917.723,1.33799,1.22702,1.32769,0.72091,0.70418,0.74089,0.43371,1.45109,1.20593,1.30956,0.008416,0.008416,0.008416
18,971.97,1.32913,1.21782,1.31957,0.77212,0.69451,0.76391,0.44334,1.45058,1.19625,1.29157,0.008317,0.008317,0.008317
