epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.195,1.77108,2.14123,1.50029,0.54573,0.58969,0.53993,0.18784,2.01582,2.51706,1.69779,0.000663176,0.000663176,0.000663176
2,59.9829,1.67305,1.57456,1.45258,0.57873,0.55052,0.53978,0.1869,2.01477,2.13391,1.62529,0.00131668,0.00131668,0.00131668
3,88.6315,1.64105,1.41591,1.42704,0.68784,0.61107,0.65504,0.30797,1.79455,1.68607,1.51175,0.00195698,0.00195698,0.00195698
4,117.004,1.62585,1.35102,1.42156,0.69044,0.61649,0.65393,0.24546,2.01358,1.69754,1.63431,0.0019406,0.0019406,0.0019406
5,145.467,1.59305,1.28075,1.39629,0.67523,0.62159,0.65341,0.30884,1.80909,1.79822,1.53544,0.0019208,0.0019208,0.0019208
6,174.192,1.54381,1.23426,1.36844,0.71186,0.63419,0.6957,0.35363,1.72444,1.44562,1.45689,0.001901,0.001901,0.001901
7,203.031,1.52721,1.19488,1.37608,0.72048,0.65636,0.69777,0.32288,1.81469,1.40861,1.46754,0.0018812,0.0018812,0.0018812
8,231.801,1.50305,1.15606,1.34999,0.69958,0.6722,0.72509,0.34309,1.76239,1.38643,1.47237,0.0018614,0.0018614,0.0018614
9,260.321,1.48482,1.12607,1.33398,0.78111,0.68763,0.76849,0.3839,1.69793,1.28107,1.455,0.0018416,0.0018416,0.0018416
10,289.339,1.44623,1.08889,1.31374,0.73961,0.62268,0.68311,0.31894,1.91553,1.55688,1.59487,0.0018218,0.0018218,0.0018218
11,318.066,1.44507,1.06348,1.30631,0.78255,0.68557,0.74679,0.36329,1.74685,1.27199,1.46748,0.001802,0.001802,0.001802
12,346.663,1.41163,1.04595,1.29616,0.759,0.66701,0.73339,0.33316,1.89598,1.39096,1.5584,0.0017822,0.0017822,0.0017822
13,375.208,1.41257,1.01964,1.29006,0.81821,0.72165,0.79607,0.38478,1.75075,1.14941,1.41585,0.0017624,0.0017624,0.0017624
14,403.784,1.39018,1.00536,1.27066,0.78395,0.72197,0.78309,0.413,1.63515,1.17896,1.37034,0.0017426,0.0017426,0.0017426
15,432.34,1.38285,0.98526,1.2719,0.81721,0.74208,0.81601,0.42677,1.64299,1.13074,1.40075,0.0017228,0.0017228,0.0017228
