epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4517,1.68831,2.6921,1.53612,0.54055,0.49877,0.47246,0.15317,2.02637,2.27389,1.62897,0.00332545,0.00332545,0.00332545
2,111.107,1.55853,1.92281,1.4189,0.62315,0.63577,0.62401,0.27435,1.75216,1.92192,1.44228,0.00659286,0.00659286,0.00659286
3,165.244,1.62794,1.79964,1.4673,0.56466,0.52912,0.52117,0.19597,1.95727,2.24635,1.58243,0.00979428,0.00979428,0.00979428
4,218.472,1.64936,1.74012,1.50757,0.54849,0.51272,0.49999,0.19674,1.90394,2.01866,1.61556,0.009703,0.009703,0.009703
5,271.611,1.60851,1.64269,1.49081,0.6483,0.58162,0.62668,0.2877,1.74719,1.62465,1.50213,0.009604,0.009604,0.009604
6,324.753,1.5598,1.56982,1.45524,0.68502,0.60303,0.6601,0.29943,1.75095,1.79182,1.49444,0.009505,0.009505,0.009505
7,378.001,1.52039,1.49548,1.42913,0.72844,0.61608,0.69831,0.33516,1.63399,1.50647,1.43522,0.009406,0.009406,0.009406
8,431.095,1.49362,1.44348,1.41528,0.72997,0.652,0.7207,0.34417,1.62465,1.44412,1.4013,0.009307,0.009307,0.009307
9,484.504,1.46507,1.40597,1.39942,0.71394,0.68909,0.72681,0.35983,1.62316,1.40736,1.40237,0.009208,0.009208,0.009208
10,537.743,1.4374,1.36126,1.37933,0.7246,0.67341,0.71361,0.37354,1.60416,1.36093,1.39913,0.009109,0.009109,0.009109
11,590.992,1.42533,1.34028,1.37527,0.72438,0.65112,0.69827,0.37208,1.61906,1.45415,1.40849,0.00901,0.00901,0.00901
12,644.444,1.40997,1.32546,1.367,0.66463,0.60639,0.64111,0.32332,1.65016,1.51379,1.4084,0.008911,0.008911,0.008911
13,697.901,1.38385,1.29004,1.34727,0.74551,0.72354,0.77175,0.41973,1.51791,1.23976,1.35565,0.008812,0.008812,0.008812
14,751.282,1.37581,1.27438,1.34337,0.76579,0.68253,0.7603,0.41219,1.5025,1.25989,1.34051,0.008713,0.008713,0.008713
15,804.93,1.3549,1.24758,1.33631,0.76958,0.7055,0.75746,0.40181,1.52725,1.30278,1.36292,0.008614,0.008614,0.008614
16,858.462,1.35329,1.2306,1.325,0.80449,0.74263,0.82034,0.43575,1.54052,1.20295,1.36877,0.008515,0.008515,0.008515
17,912.105,1.34066,1.21989,1.32509,0.76668,0.72354,0.77799,0.43164,1.45985,1.22891,1.30601,0.008416,0.008416,0.008416
18,965.64,1.33218,1.21393,1.32128,0.81141,0.72356,0.80413,0.45593,1.44996,1.17384,1.29243,0.008317,0.008317,0.008317
19,1019.08,1.32549,1.2149,1.31186,0.79018,0.72026,0.79289,0.44305,1.43992,1.19058,1.30125,0.008218,0.008218,0.008218
20,1072.65,1.30503,1.17321,1.29737,0.77269,0.71946,0.78515,0.42917,1.47114,1.22107,1.30891,0.008119,0.008119,0.008119
21,1126.11,1.29813,1.16426,1.29358,0.79771,0.72463,0.80485,0.45614,1.43483,1.15371,1.27609,0.00802,0.00802,0.00802
22,1179.49,1.29716,1.16742,1.29344,0.80605,0.77194,0.83629,0.46097,1.42064,1.10334,1.27609,0.007921,0.007921,0.007921
23,1232.96,1.27904,1.14008,1.28057,0.81093,0.7219,0.82128,0.47116,1.40555,1.11568,1.27597,0.007822,0.007822,0.007822
24,1286.15,1.27738,1.13021,1.27888,0.80417,0.75472,0.82534,0.4767,1.39446,1.12072,1.25491,0.007723,0.007723,0.007723
25,1339.33,1.27103,1.11942,1.27549,0.81659,0.73831,0.82059,0.47594,1.39297,1.13126,1.25442,0.007624,0.007624,0.007624
26,1392.59,1.25794,1.11102,1.2678,0.82225,0.74757,0.82362,0.47622,1.36196,1.0938,1.24085,0.007525,0.007525,0.007525
27,1445.7,1.2489,1.09253,1.26771,0.83965,0.71616,0.81631,0.47154,1.40001,1.12544,1.2569,0.007426,0.007426,0.007426
28,1498.57,1.24547,1.08885,1.26605,0.81698,0.72508,0.80815,0.46488,1.40304,1.12515,1.24676,0.007327,0.007327,0.007327
29,1551.68,1.23962,1.07012,1.25659,0.81934,0.73913,0.82436,0.48633,1.3345,1.07147,1.23705,0.007228,0.007228,0.007228
30,1604.67,1.2324,1.07551,1.25828,0.80668,0.77194,0.82925,0.48517,1.36419,1.06719,1.24143,0.007129,0.007129,0.007129
