epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2969,1.35794,1.94072,2.02878,1.2919,0.38557,0.53931,0.38622,0.1614,0.3807,0.33333,0.28427,0.06817,1.89016,1.46642,2.73425,1.74304,0.000663805,0.000663805,0.000663805
2,80.3484,1.39968,1.69556,1.50824,1.31105,0.52672,0.52209,0.42675,0.15741,0.42954,0.41767,0.27313,0.06746,2.08702,1.49915,1.92273,1.86357,0.0013173,0.0013173,0.0013173
3,119.062,1.3746,1.66939,1.37608,1.29219,0.53765,0.59839,0.49803,0.22596,0.43853,0.51004,0.33128,0.09099,1.83681,1.49789,1.76496,1.63717,0.0019576,0.0019576,0.0019576
4,157.644,1.3429,1.67469,1.31786,1.2839,0.65773,0.656,0.60933,0.26399,0.47796,0.45783,0.33587,0.09608,1.75956,1.41602,1.69856,1.60268,0.0019406,0.0019406,0.0019406
5,196.506,1.26188,1.63282,1.23272,1.24891,0.64126,0.60241,0.59885,0.31135,0.54695,0.49398,0.39829,0.10807,1.61955,1.44407,1.55538,1.50554,0.0019208,0.0019208,0.0019208
6,235.869,1.20274,1.61755,1.17251,1.2164,0.69207,0.67696,0.64079,0.33915,0.5666,0.55823,0.44392,0.12549,1.53072,1.28846,1.49165,1.49191,0.001901,0.001901,0.001901
7,275.843,1.16824,1.60437,1.11804,1.19896,0.66188,0.65863,0.65712,0.37749,0.64503,0.58382,0.53116,0.16069,1.54294,1.3484,1.57651,1.38856,0.0018812,0.0018812,0.0018812
8,315.264,1.14285,1.5899,1.09042,1.19038,0.62429,0.6988,0.61013,0.34163,0.53923,0.56399,0.44328,0.12019,1.5053,1.32024,1.44568,1.4076,0.0018614,0.0018614,0.0018614
9,354.687,1.13136,1.57302,1.08009,1.18266,0.7612,0.70407,0.69118,0.39996,0.64508,0.62651,0.54981,0.16559,1.47255,1.2627,1.35465,1.40208,0.0018416,0.0018416,0.0018416
10,394.096,1.09743,1.57149,1.0392,1.17064,0.80438,0.71486,0.724,0.44863,0.72376,0.64659,0.55408,0.16774,1.3925,1.28039,1.30621,1.26397,0.0018218,0.0018218,0.0018218
11,433.348,1.06642,1.54905,1.0087,1.14959,0.73686,0.68675,0.67648,0.39923,0.65688,0.61446,0.51727,0.15603,1.47212,1.29751,1.37379,1.37581,0.001802,0.001802,0.001802
12,472.688,1.08227,1.54995,1.02207,1.16396,0.74585,0.65863,0.68336,0.43367,0.57568,0.54618,0.46741,0.14521,1.34754,1.358,1.29922,1.29636,0.0017822,0.0017822,0.0017822
13,512.496,1.06319,1.56557,0.99131,1.15242,0.72213,0.6747,0.69104,0.43311,0.63777,0.59036,0.51744,0.15966,1.39468,1.26482,1.3132,1.33476,0.0017624,0.0017624,0.0017624
14,552.892,1.05714,1.52797,0.99759,1.15036,0.78393,0.71397,0.74804,0.47094,0.68762,0.60241,0.55661,0.17466,1.30795,1.31923,1.15187,1.28396,0.0017426,0.0017426,0.0017426
15,592.745,1.04223,1.52587,0.96452,1.14552,0.77512,0.71084,0.70803,0.45592,0.70252,0.59036,0.54144,0.17864,1.34606,1.30245,1.25944,1.30355,0.0017228,0.0017228,0.0017228
16,632.68,1.03409,1.50747,0.95695,1.1454,0.77641,0.70281,0.7517,0.51731,0.71152,0.60643,0.58461,0.19974,1.17964,1.29462,1.14821,1.18708,0.001703,0.001703,0.001703
17,672.644,1.02337,1.50529,0.94437,1.13733,0.78584,0.6988,0.72961,0.50337,0.70743,0.63052,0.57439,0.18544,1.22423,1.23129,1.20046,1.24612,0.0016832,0.0016832,0.0016832
18,712.513,1.01133,1.52886,0.95003,1.13343,0.73563,0.68273,0.715,0.48429,0.63368,0.58356,0.52336,0.17393,1.26214,1.2634,1.18701,1.20777,0.0016634,0.0016634,0.0016634
19,752.429,0.99993,1.52935,0.92904,1.12626,0.81535,0.71486,0.74421,0.50982,0.69634,0.59839,0.54215,0.1812,1.23414,1.25341,1.16845,1.16588,0.0016436,0.0016436,0.0016436
20,792.2,0.99745,1.51192,0.92327,1.12095,0.78446,0.70683,0.74378,0.52274,0.70966,0.61446,0.59169,0.19898,1.20782,1.26813,1.15621,1.15756,0.0016238,0.0016238,0.0016238
21,831.883,0.98848,1.47113,0.89652,1.12304,0.76033,0.70281,0.71683,0.4968,0.65286,0.60241,0.54873,0.17635,1.14883,1.24403,1.10943,1.15471,0.001604,0.001604,0.001604
22,871.16,0.98906,1.49862,0.91066,1.11834,0.77868,0.71888,0.77776,0.50406,0.69032,0.54611,0.54879,0.1695,1.21346,1.26466,1.11962,1.18661,0.0015842,0.0015842,0.0015842
23,910.786,0.9765,1.48074,0.88481,1.11309,0.69864,0.71084,0.7239,0.51471,0.61889,0.60241,0.57314,0.18682,1.18961,1.23642,1.20821,1.15758,0.0015644,0.0015644,0.0015644
24,950.873,0.95743,1.49236,0.88787,1.11101,0.73633,0.70683,0.73603,0.50526,0.6793,0.56145,0.5515,0.18085,1.13432,1.27796,1.20456,1.10403,0.0015446,0.0015446,0.0015446
25,991.397,0.93976,1.46628,0.85213,1.10401,0.78249,0.69348,0.76787,0.52975,0.71469,0.59438,0.61268,0.19277,1.15024,1.21404,1.11651,1.15442,0.0015248,0.0015248,0.0015248
26,1031.3,0.94166,1.47656,0.85094,1.09277,0.7824,0.72691,0.75489,0.51345,0.65863,0.61044,0.56698,0.17385,1.17801,1.25819,1.10983,1.18057,0.001505,0.001505,0.001505
27,1071.09,0.94099,1.4772,0.85192,1.09871,0.79964,0.70525,0.75609,0.55916,0.76473,0.5743,0.61264,0.20093,1.09191,1.23636,1.0844,1.1189,0.0014852,0.0014852,0.0014852
